"","ca","dm","ff","uk","jp"
"1",0.977,2.575,4.818,0.41997,301.5
"2",0.9768,2.615,4.806,0.424,302.4
"3",0.9776,2.63,4.825,0.42976,303.2
"4",0.9882,2.663,4.796,0.43241,301.9
"5",0.9864,2.654,4.818,0.43185,302.7
"6",0.9876,2.663,4.791,0.43163,302.5
"7",0.9876,2.649,4.787,0.43169,296
"8",0.9828,2.66,4.756,0.43187,295.5
"9",0.9842,2.652,4.752,0.4283,298.6
"10",0.9788,2.589,4.74,0.42726,299.4
"11",0.982,2.581,4.72,0.42885,299.2
"12",0.9836,2.575,4.695,0.42878,300
"13",0.9844,2.574,4.676,0.4283,299.9
"14",0.9854,2.552,4.704,0.42617,300.8
"15",0.9912,2.559,4.865,0.43363,300.2
"16",0.9858,2.521,4.626,0.43039,299.8
"17",0.9866,2.467,4.619,0.43063,300
"18",0.9864,2.491,4.493,0.43029,300
"19",0.9856,2.466,4.485,0.43057,299.9
"20",0.9892,2.427,4.459,0.42775,300.45
"21",0.9884,2.433,4.462,0.4279,300.95
"22",0.9916,2.421,4.4105,0.42801,300.62
"23",0.9938,2.3845,4.4256,0.42553,300.5
"24",0.9952,2.3975,4.305,0.42597,300.9
"25",0.9936,2.34,4.355,0.42159,300.75
"26",0.9966,2.343,4.36825,0.4212,298.5
"27",0.9988,2.382,4.329375,0.421585,297.15
"28",1.0016,2.35,4.279375,0.419745,292
"29",1.0022,2.3175,4.19375,0.417258,293.5
"30",0.9966,2.294,4.18525,0.413479,285.5
"31",0.9974,2.3035,4.199,0.412439,285.1
"32",1.0006,2.3095,4.181,0.412677,287.2
"33",0.9996,2.307,4.212,0.412286,288.4
"34",1.0018,2.336,4.18875,0.414507,291.5
"35",1.0022,2.3324,4.20875,0.4152,291.3
"36",1.0052,2.361,4.199,0.41983,291.8
"37",1.0118,2.3878,4.16075,0.42321,291.3
"38",1.0162,2.3727,4.13688,0.42421,292.8
"39",1.0192,2.378,4.07125,0.42497,293.3
"40",1.026,2.366,4.036,0.427423,291.3
"41",1.0324,2.3305,4.03062,0.432994,291.5
"42",1.0268,2.3395,3.96875,0.432956,292.1
"43",1.0278,2.3285,3.999,0.429553,290.85
"44",1.0276,2.337,4.0065,0.430979,291.2
"45",1.0238,2.335,3.98715,0.434405,291.95
"46",1.0246,2.3328,3.99,0.440063,294
"47",1.0266,2.3376,4.0935,0.443361,296.3
"48",1.03,2.376,4.1235,0.453926,295.4
"49",1.031,2.394,4.205,0.453063,295.7
"50",1.0314,2.4795,4.34525,0.458211,295.95
"51",1.032,2.5341,4.363,0.459559,296.6
"52",1.03,2.5588,4.35763,0.459982,296.5
"53",1.0324,2.565,4.395,0.468384,298
"54",1.0372,2.5875,4.33625,0.475285,297.99
"55",1.0372,2.5563,4.3795,0.470876,298
"56",1.035,2.5783,4.39125,0.476631,298
"57",1.0302,2.5755,4.4025,0.472925,297.8
"58",1.0274,2.5822,4.475,0.473799,297.99
"59",1.0254,2.6225,4.5735,0.47957,298
"60",1.0234,2.667,4.487,0.488759,302.7
"61",1.0252,2.6324,4.44625,0.491666,302.7
"62",1.0266,2.6022,4.41563,0.489812,303
"63",1.03,2.5875,4.355,0.487567,302.7
"64",1.0286,2.5535,4.39075,0.483723,301.1
"65",1.0204,2.5727,4.37625,0.48398,301.65
"66",1.017,2.5675,4.38025,0.484097,301.95
"67",1.0128,2.5716,4.42875,0.48452,302.5
"68",1.0126,2.5935,4.4385,0.490894,303
"69",1.0118,2.6111,4.4415,0.49169,303
"70",1.0126,2.612,4.4565,0.494878,305
"71",1.0126,2.6267,4.47038,0.494291,306.4
"72",1.0138,2.634,4.457,0.494608,305.6
"73",1.0142,2.618,4.479,0.49429,305.65
"74",1.0164,2.6223,4.445,0.494194,305.15
"75",1.0122,2.6,4.47525,0.491666,305
"76",1.0068,2.606,4.50025,0.494119,305.4
"77",1.0032,2.6058,4.48338,0.493754,303.7
"78",1,2.5995,4.46125,0.492926,303.55
"79",0.9978,2.575,4.45375,0.492393,303
"80",0.9956,2.546,4.467,0.493291,300.4
"81",0.9936,2.5565,4.48038,0.49351,301.85
"82",0.9884,2.555,4.4945,0.493705,301.8
"83",0.9884,2.569,4.52775,0.493974,301.7
"84",0.984,2.5672,4.71925,0.517143,301.35
"85",0.9846,2.5568,4.69625,0.52233,300.5
"86",0.9848,2.5548,4.669,0.518995,299.8
"87",0.9842,2.5383,4.6685,0.522002,299.7
"88",0.9806,2.5413,4.668,0.535619,298.8
"89",0.9886,2.5351,4.67125,0.539433,298.5
"90",0.9814,2.537,4.67225,0.541477,298.9
